episode,sample_index,question,action_prompt,reference,prediction,score,context
1,1,신 해석학이 적용한 철학은?,"질문에 대해 핵심 결론을 먼저 제시하는 두괄식 구조로 답변하십시오.  
문맥에서 확인된 사실과 근거를 논리적으로 연결하여 명확하고 간결하게 설명하고, 필요 시 단계별로 구체적인 세부사항을 포함하십시오.  
불필요한 감정 표현이나 장황한 서론은 배제하고, 전문적이고 중립적인 어투를 유지하며 독자가 빠르게 이해할 수 있도록 체계적으로 서술하십시오.  
모든 정보는 문맥에서 확인된 내용에 기반하고, 사실·원인·결과·의미를 균형 있게 담아 한 눈에 이해 가능한 완결된 답변을 작성하십시오.",실존주의 철학,"신 해석학이 적용한 철학은 **후기 하이데거의 실존주의 철학**이다.  

**근거 및 설명**  
1. 참고 문서에 따르면 신 해석학(New Hermeneutic)은 ""언어 스스로가 말하는 것을 듣는 것""을 강조하며, 이는 하이데거의 언어와 존재에 대한 사유와 연결된다.  
2. 특히 ""후기 하이데거의 실존주의 철학을 적용""한다고 명시되어 있어, 초기 하이데거의 존재론적 분석을 넘어 후기 사유에서 언어를 존재의 현현으로 보는 관점을 반영한다.  
3. 이러한 철학적 기반 위에서 루돌프 불트만의 역사적 예수 문제에 대한 접근을 변형하여, 예수의 행위와 케리그마 사이의 연속성을 강조하고, 언어를 실존적 사건으로 이해한다.  

**결론**: 신 해석학은 후기 하이데거의 실존주의 철학을 기반으로, 언어를 존재의 사건으로 해석하는 hermeneutic 방법을 발전시켰다.",0.5939975711917316,
1,2,오로라 오벌중 낮에서 심야에 이르는 시간에 보이는 오로라는?,"질문에 대해 핵심 결론을 먼저 제시하는 두괄식 구조로 답변하십시오.  
문맥에서 확인된 사실과 근거를 논리적으로 연결하여 명확하고 간결하게 설명하고, 필요 시 단계별로 구체적인 세부사항을 포함하십시오.  
불필요한 감정 표현이나 장황한 서론은 배제하고, 전문적이고 중립적인 어투를 유지하며 독자가 빠르게 이해할 수 있도록 체계적으로 서술하십시오.  
모든 정보는 문맥에서 확인된 내용에 기반하고, 사실·원인·결과·의미를 균형 있게 담아 한 눈에 이해 가능한 완결된 답변을 작성하십시오.",커튼형오로라,"결론: 오로라 오벌에서 낮에서 저녁을 거쳐 심야까지는 **커튼형 오로라**가 주로 나타난다.  

**근거 및 설명**  
1. 참고 문서에 따르면 오로라 오벌은 시간대에 따라 두 종류의 오로라로 구성된다.  
2. 낮~저녁~심야 구간: 커튼형 오로라가 주로 관측됨.  
3. 심야 이후~아침까지 구간: 맥동성 오로라가 주로 나타나며, 엷은 배경이 동반됨.  

따라서 질문의 시간대(낮에서 심야)는 커튼형 오로라가 해당된다.",0.5050477284784384,
1,3,블리자드가 7년의 시간동안 야심차게 개발했던 타이탄이 취소되면서 오버워치의 개발이 시작된 해는?,"질문에 대해 핵심 결론을 먼저 제시하는 두괄식 구조로 답변하십시오.  
문맥에서 확인된 사실과 근거를 논리적으로 연결하여 명확하고 간결하게 설명하고, 필요 시 단계별로 구체적인 세부사항을 포함하십시오.  
불필요한 감정 표현이나 장황한 서론은 배제하고, 전문적이고 중립적인 어투를 유지하며 독자가 빠르게 이해할 수 있도록 체계적으로 서술하십시오.  
모든 정보는 문맥에서 확인된 내용에 기반하고, 사실·원인·결과·의미를 균형 있게 담아 한 눈에 이해 가능한 완결된 답변을 작성하십시오.",2014년,"결론: **오버워치의 개발은 2014년에 시작되었습니다.**

근거: 참고 문서에 따르면 블리자드는 7년간 개발한 대규모 다중 사용자 온라인 롤플레잉 게임 《타이탄》을 2014년에 취소했으며, 이 프로젝트 취소 이후 오버워치 개발이 시작되었습니다.  
따라서 타이탄 취소 시점과 동일한 **2014년**이 오버워치 개발 시작 시점입니다.",0.4627591539410285,
1,4,전통적이고 기호적인 방법으로서의 인공지능 연구 분야는 무엇인가?,"질문에 대해 핵심 결론을 먼저 제시하는 두괄식 구조로 답변하십시오.  
문맥에서 확인된 사실과 근거를 논리적으로 연결하여 명확하고 간결하게 설명하고, 필요 시 단계별로 구체적인 세부사항을 포함하십시오.  
불필요한 감정 표현이나 장황한 서론은 배제하고, 전문적이고 중립적인 어투를 유지하며 독자가 빠르게 이해할 수 있도록 체계적으로 서술하십시오.  
모든 정보는 문맥에서 확인된 내용에 기반하고, 사실·원인·결과·의미를 균형 있게 담아 한 눈에 이해 가능한 완결된 답변을 작성하십시오.",깔끔이(Neats),"결론: 전통적이고 기호적인 방법으로서의 인공지능 연구 분야는 **깔끔이(Neats)**이다.  

**근거 및 설명**  
1. 참고 문서에서 깔끔이는 ""전통적 혹은 기호적(symbolic) 인공지능 연구""라고 명시됨.  
2. 이 분야는 추상적 개념에 대한 **기호적 연산**과 **전문가 시스템(expert systems)** 개발 방법론을 포함함.  
3. 깔끔이 접근법은 규칙 기반 설계와 명시적 지식 표현을 중심으로 지능을 구현하는 것을 특징으로 함.  

**요약**  
깔끔이(Neats) = 전통적·기호적 AI → 기호 연산 + 전문가 시스템 중심 접근.",0.4397324506713992,
1,5,1923년 잉글랜드 FA컵 결승전당시 영국의 국왕은 누구인가?,"질문에 대해 핵심 결론을 먼저 제시하는 두괄식 구조로 답변하십시오.  
문맥에서 확인된 사실과 근거를 논리적으로 연결하여 명확하고 간결하게 설명하고, 필요 시 단계별로 구체적인 세부사항을 포함하십시오.  
불필요한 감정 표현이나 장황한 서론은 배제하고, 전문적이고 중립적인 어투를 유지하며 독자가 빠르게 이해할 수 있도록 체계적으로 서술하십시오.  
모든 정보는 문맥에서 확인된 내용에 기반하고, 사실·원인·결과·의미를 균형 있게 담아 한 눈에 이해 가능한 완결된 답변을 작성하십시오.",조지 5세,"결론: 1923년 잉글랜드 FA컵 결승전 당시 영국의 국왕은 **조지 5세(George V)**였다.  

근거: 참고 문서에 따르면 경기 진행이 어려워 보이는 상황에서 “영국의 왕 조지 5세가 도착하자 관중들 사이의 분위기가 바뀌었다”고 기록되어 있다. 이는 해당 시점의 재위 군주가 조지 5세였음을 명확히 보여준다.  

결과·의미: 조지 5세의 등장으로 혼란스러운 관중 상황이 일부 진정되었으며, 관중들이 국가를 제창한 뒤 경기 진행을 위한 공간 확보에 협조하게 되어 경기가 예정대로 진행될 수 있었다.",0.598900874883645,
2,1,"창원시 농업기반공사가 용추저수지 22,981평 가운데 13,740평을 매각한 기관은?","질문에 대한 핵심 답을 첫 문장에서 간단하고 정확하게 제시하십시오. 이후에는 문맥에서 확인된 주요 개념, 정의, 특징, 관련 예시를 짧고 명료한 문장으로 보충 설명하십시오. 불필요한 결론 표기나 감정적 표현은 배제하고, 전문적·중립적 어투를 유지하십시오. 정보는 반드시 제공된 문맥에 근거하며, 사실을 우선적으로 전달하고 필요 시 개념 간 관계나 배경을 간결하게 덧붙이되, 전체 답변은 한눈에 파악할 수 있게 완결성을 갖추십시오.",한국철도시설공단,"창원시 농업기반공사가 매각한 기관은 **한국철도시설공단**이다.  
1968년 12월 축조된 용추저수지의 일부 부지를 2005년에 매각하였다.  
매각 면적은 전체 22,981평 중 13,740평이었다.  
한국철도시설공단은 이를 역 부지 일부로 활용할 수 있게 되었다.",0.45592248974257554,
2,2,"관습, 규율 ,법은  집단의 존속을 유지하기위한 어떤 요구가 들어있나?","질문에 대한 핵심 답을 첫 문장에서 간단하고 정확하게 제시하십시오. 이후에는 문맥에서 확인된 주요 개념, 정의, 특징, 관련 예시를 짧고 명료한 문장으로 보충 설명하십시오. 불필요한 결론 표기나 감정적 표현은 배제하고, 전문적·중립적 어투를 유지하십시오. 정보는 반드시 제공된 문맥에 근거하며, 사실을 우선적으로 전달하고 필요 시 개념 간 관계나 배경을 간결하게 덧붙이되, 전체 답변은 한눈에 파악할 수 있게 완결성을 갖추십시오.",자연적 본능,"관습·규율·법에는 집단의 존속을 유지하기 위한 자연적 본능의 요구가 들어 있다.  
이는 사회 구성원들이 무의식적으로 수행하는 습관 체계를 통해 사회 질서와 생존을 보장하려는 본능적 동인을 의미한다.  
이러한 요구는 사회적 결속을 지향하며, 도덕적 의무의 발생적 원천으로 작용한다.  
닫힌사회에서는 억압적 도덕과 가족애·애국심을 통해 강제되며, 다른 집단에 대한 배타성이 나타난다.  ",0.49145355620169595,
2,3,헨리에타와 필리프의 결혼 기념일은?,"질문에 대한 핵심 답을 첫 문장에서 간단하고 정확하게 제시하십시오. 이후에는 문맥에서 확인된 주요 개념, 정의, 특징, 관련 예시를 짧고 명료한 문장으로 보충 설명하십시오. 불필요한 결론 표기나 감정적 표현은 배제하고, 전문적·중립적 어투를 유지하십시오. 정보는 반드시 제공된 문맥에 근거하며, 사실을 우선적으로 전달하고 필요 시 개념 간 관계나 배경을 간결하게 덧붙이되, 전체 답변은 한눈에 파악할 수 있게 완결성을 갖추십시오.",1661년 3월 31일,"헨리에타와 필리프의 결혼 기념일은 1661년 3월 31일이다.  
1661년 3월 31일에 프랑스로 돌아온 헨리에타는 필리프와 혼인했다.  
필리프는 동성애자였고 결혼 생활은 원만하지 않았다.  
헨리에타는 시아주버니 루이 14세와 가까워졌으나 시녀 루이즈 드 라 발리에르가 루이 14세의 애첩이 되면서 관계를 단념했다.  
부부 사이에 마리 루이즈, 필리프 샤를, 안나 마리아가 태어났지만 불화가 지속되었다.  
필리프가 애인을 생클루 성으로 데려오자 헨리에타는 루이 14세에게 호소했고, 루이 14세는 로렌 공을 외딴 섬에 유배시켰다.",0.38096731700214315,
2,4,선수단 입장에서 제일 먼저 입장하는 나라는?,"질문에 대한 핵심 답을 첫 문장에서 간단하고 정확하게 제시하십시오. 이후에는 문맥에서 확인된 주요 개념, 정의, 특징, 관련 예시를 짧고 명료한 문장으로 보충 설명하십시오. 불필요한 결론 표기나 감정적 표현은 배제하고, 전문적·중립적 어투를 유지하십시오. 정보는 반드시 제공된 문맥에 근거하며, 사실을 우선적으로 전달하고 필요 시 개념 간 관계나 배경을 간결하게 덧붙이되, 전체 답변은 한눈에 파악할 수 있게 완결성을 갖추십시오.",그리스,"제일 먼저 입장하는 나라는 그리스이다.  
그리스는 올림픽 발상지라는 전통적 이유로 항상 첫 번째로 입장한다.  
다른 나라 선수단은 주최국이 선택한 언어의 사전 순으로 입장한다.  
개최국 선수단은 마지막 순서로 입장한다.  
2004년 아테네 올림픽에서는 그리스 국기가 처음 입장했고, 그리스 선수단은 마지막에 입장했다.",0.5426319463488133,
2,5,이휘소가 자신의 신변보장을 위해서 택한 대한민국의 숙소는 무엇인가?,"질문에 대한 핵심 답을 첫 문장에서 간단하고 정확하게 제시하십시오. 이후에는 문맥에서 확인된 주요 개념, 정의, 특징, 관련 예시를 짧고 명료한 문장으로 보충 설명하십시오. 불필요한 결론 표기나 감정적 표현은 배제하고, 전문적·중립적 어투를 유지하십시오. 정보는 반드시 제공된 문맥에 근거하며, 사실을 우선적으로 전달하고 필요 시 개념 간 관계나 배경을 간결하게 덧붙이되, 전체 답변은 한눈에 파악할 수 있게 완결성을 갖추십시오.",미국 대사관 직원 숙소,"이휘소가 택한 대한민국의 숙소는 **주한 미국 대사관 직원 숙소**이다.  
그는 박정희 정권에 대한 경계심이 강했고, 미국 정부 대표단의 일원으로 방문했지만 안전을 위해 주한미군 용산기지 인근에 위치한 이 숙소를 선택했다.  
추가로, 만약 위협 상황이 발생할 경우 즉시 도움을 요청할 연락처를 페르미랩 비서에게 전달해 두었다.",0.593851617312579,
3,1,1855년 태국과 영국 사이에 맺은 조약은?,"질문에 대한 답변은 문맥에서 확인된 핵심 정보만을 사용하여, 첫 문장에서 간결하고 정확하게 결론을 제시하십시오. 추가 설명은 반드시 질문에 직접 관련된 필수 사실이나 수치를 보충하는 범위로 제한하며, 불필요한 배경 이야기나 인물 관계·감정·사건 전개 등 부차적 정보는 포함하지 마십시오. 문장은 짧고 명료하게 구성하고, 전문적이고 중립적인 어투를 유지하여 독자가 즉시 핵심을 파악할 수 있도록 하십시오. 전체 답변은 질문에 대한 직접적이고 완결된 응답이 되도록 작성하십시오.",통상우호조약,1855년 태국과 영국은 통상우호조약을 체결했다.,0.5259369207002109,
3,2,7번선과 11번선 방면 안내판은 쇼난 신주쿠 라인의 개통에 따른 업데이트로 어떤 색상으로 변경되었나?,"질문에 대한 답변은 문맥에서 확인된 핵심 정보만을 사용하여, 첫 문장에서 간결하고 정확하게 결론을 제시하십시오. 추가 설명은 반드시 질문에 직접 관련된 필수 사실이나 수치를 보충하는 범위로 제한하며, 불필요한 배경 이야기나 인물 관계·감정·사건 전개 등 부차적 정보는 포함하지 마십시오. 문장은 짧고 명료하게 구성하고, 전문적이고 중립적인 어투를 유지하여 독자가 즉시 핵심을 파악할 수 있도록 하십시오. 전체 답변은 질문에 대한 직접적이고 완결된 응답이 되도록 작성하십시오.",주황색,주황색으로 변경되었다.,0.8133208044755471,
3,3,원터롤리는 누구에게 포탄의 개수를 알아내라고 하였는가?,"질문에 대한 답변은 문맥에서 확인된 핵심 정보만을 사용하여, 첫 문장에서 간결하고 정확하게 결론을 제시하십시오. 추가 설명은 반드시 질문에 직접 관련된 필수 사실이나 수치를 보충하는 범위로 제한하며, 불필요한 배경 이야기나 인물 관계·감정·사건 전개 등 부차적 정보는 포함하지 마십시오. 문장은 짧고 명료하게 구성하고, 전문적이고 중립적인 어투를 유지하여 독자가 즉시 핵심을 파악할 수 있도록 하십시오. 전체 답변은 질문에 대한 직접적이고 완결된 응답이 되도록 작성하십시오.",토머스 해리엇,월터 롤리는 토머스 해리엇에게 포탄의 개수를 알아내라고 하였다.,0.7209267949090729,
3,4,Artpop은 발매 첫 주 몇장의 음반을 팔았는가?,"질문에 대한 답변은 문맥에서 확인된 핵심 정보만을 사용하여, 첫 문장에서 간결하고 정확하게 결론을 제시하십시오. 추가 설명은 반드시 질문에 직접 관련된 필수 사실이나 수치를 보충하는 범위로 제한하며, 불필요한 배경 이야기나 인물 관계·감정·사건 전개 등 부차적 정보는 포함하지 마십시오. 문장은 짧고 명료하게 구성하고, 전문적이고 중립적인 어투를 유지하여 독자가 즉시 핵심을 파악할 수 있도록 하십시오. 전체 답변은 질문에 대한 직접적이고 완결된 응답이 되도록 작성하십시오.","258,000장","Artpop은 발매 첫 주에 258,000장을 판매했다.",0.7243029748310449,
3,5,공항에서 가장 오래된 터미널은?,"질문에 대한 답변은 문맥에서 확인된 핵심 정보만을 사용하여, 첫 문장에서 간결하고 정확하게 결론을 제시하십시오. 추가 설명은 반드시 질문에 직접 관련된 필수 사실이나 수치를 보충하는 범위로 제한하며, 불필요한 배경 이야기나 인물 관계·감정·사건 전개 등 부차적 정보는 포함하지 마십시오. 문장은 짧고 명료하게 구성하고, 전문적이고 중립적인 어투를 유지하여 독자가 즉시 핵심을 파악할 수 있도록 하십시오. 전체 답변은 질문에 대한 직접적이고 완결된 응답이 되도록 작성하십시오.",터미널 4,공항에서 가장 오래된 터미널은 마닐라 국내선 터미널(터미널 4)입니다.,0.6040324206559649,
4,1,1970년대 초 AKA가 보호하기 위해 2만 달러를 기부했던 대상은 누구인가?,"질문에 대한 답변은 첫 문장에서 필요한 핵심 용어나 명칭, 수치 등 직접적인 결론만 단독으로 제시하십시오. 그 후 추가 설명은 반드시 문맥에서 확인된 필수 정보만을 간결하게 보충하며, 불필요한 배경 서술이나 문학적 표현을 배제하십시오. 전체 문장은 짧고 단정하게 구성하고, 전문적이고 중립적인 어투를 유지하여 응답이 명확하고 압축된 형태로 완결성을 갖추도록 하십시오.",마틴 루서 킹,"마틴 루서 킹.  
1970년대 초 AKA는 조지아주 애틀란타의 마틴 루서 킹 주니어 생가에서 그를 보호하기 위해 2만 달러를 기부하였다.",0.5696078541295985,
4,2,전국적인 행정구역 개편을 단행한 곳은?,"질문에 대한 답변은 첫 문장에서 필요한 핵심 용어나 명칭, 수치 등 직접적인 결론만 단독으로 제시하십시오. 그 후 추가 설명은 반드시 문맥에서 확인된 필수 정보만을 간결하게 보충하며, 불필요한 배경 서술이나 문학적 표현을 배제하십시오. 전체 문장은 짧고 단정하게 구성하고, 전문적이고 중립적인 어투를 유지하여 응답이 명확하고 압축된 형태로 완결성을 갖추도록 하십시오.",조선총독부,조선총독부. 1914년 전국적인 행정구역 개편을 실시하여 정동의 명칭과 구역을 변경하였다.,0.5415638032319258,
4,3,세부에서 국제공항이 있는 지역은 어디인가?,"질문에 대한 답변은 첫 문장에서 필요한 핵심 용어나 명칭, 수치 등 직접적인 결론만 단독으로 제시하십시오. 그 후 추가 설명은 반드시 문맥에서 확인된 필수 정보만을 간결하게 보충하며, 불필요한 배경 서술이나 문학적 표현을 배제하십시오. 전체 문장은 짧고 단정하게 구성하고, 전문적이고 중립적인 어투를 유지하여 응답이 명확하고 압축된 형태로 완결성을 갖추도록 하십시오.",막탄 섬,막탄 섬. 세부 해협 동쪽에 위치하며 세부 국제공항이 설치되어 있다.,0.5998764618796311,
